N,area_wide,area_narrow
100,0.8749922359,1.0192000000
600,0.8749922359,0.9473333333
1100,0.8396390143,0.9461454545
1600,0.9539845906,0.8807750000
2100,1.0046207153,0.9660000000
2600,0.8936886512,0.9287384615
3100,0.9878944599,0.9357419355
3600,0.9614112222,0.9233777778
4100,0.9034472680,0.9259804878
4600,0.9891216580,0.9139565217
5100,0.9588694873,0.9661647059
5600,0.9965189354,0.9303000000
6100,0.9355563616,0.9308393443
6600,0.9633752901,0.9452545455
7100,0.9708442806,0.9361070423
7600,0.9223236873,0.9493105263
8100,0.9638117496,0.9512049383
8600,0.9541259007,0.9526511628
9100,0.9572564633,0.9367076923
9600,0.8952466859,0.9254875000
10100,0.9385230254,0.9543841584
10600,0.9355262900,0.9515245283
11100,0.9520686291,0.9365621622
11600,0.9395271039,0.9387724138
12100,0.9432882323,0.9429057851
12600,0.9243745138,0.9375333333
13100,0.9158103640,0.9472335878
13600,0.9772176361,0.9405117647
14100,0.9777297010,0.9356567376
14600,0.9608933002,0.9430821918
15100,0.9516103935,0.9458622517
15600,0.9454154002,0.9414282051
16100,0.9426244861,0.9445739130
16600,0.9452727368,0.9513084337
17100,0.9585684924,0.9538666667
17600,0.9561941669,0.9485954545
18100,0.9190372718,0.9528198895
18600,0.9612369904,0.9355311828
19100,0.9294565578,0.9444942408
19600,0.9573327752,0.9482000000
20100,0.9364206572,0.9412875622
20600,0.9103883620,0.9489825243
21100,0.9219902391,0.9474881517
21600,0.9254033113,0.9441574074
22100,0.9400997528,0.9439927602
22600,0.9713532295,0.9418407080
23100,0.9158167895,0.9415636364
23600,0.9417289319,0.9512644068
24100,0.9508329646,0.9376282158
24600,0.9465250249,0.9518747967
25100,0.9214725672,0.9407219124
25600,0.9498071103,0.9419484375
26100,0.9610387266,0.9462068966
26600,0.9342022369,0.9416842105
27100,0.9557110769,0.9342184502
27600,0.9285344340,0.9434985507
28100,0.9434969662,0.9390562278
28600,0.9147646103,0.9488181818
29100,0.9331245953,0.9552810997
29600,0.9653161342,0.9441108108
30100,0.9069686964,0.9417767442
30600,0.9347230059,0.9543790850
31100,0.9359509662,0.9443922830
31600,0.9645220322,0.9520886076
32100,0.9301146267,0.9394566978
32600,0.9179366402,0.9415815951
33100,0.9604647907,0.9481425982
33600,0.9429893178,0.9419083333
34100,0.9160475901,0.9464903226
34600,0.9207930498,0.9411965318
35100,0.9436842507,0.9430336182
35600,0.9678440962,0.9505449438
36100,0.9452824710,0.9448177285
36600,0.9321031439,0.9386579235
37100,0.9502012122,0.9472981132
37600,0.9342041810,0.9462212766
38100,0.9137787101,0.9350383202
38600,0.9482860588,0.9484673575
39100,0.9262137195,0.9450608696
39600,0.9410340181,0.9401070707
40100,0.9557271804,0.9491581047
40600,0.9458728331,0.9394482759
41100,0.9398064756,0.9472379562
41600,0.9401959843,0.9504115385
42100,0.9375741562,0.9372617577
42600,0.9619437336,0.9510140845
43100,0.9370244259,0.9362979118
43600,0.9394348344,0.9363495413
44100,0.9323109513,0.9507111111
44600,0.9351561266,0.9481829596
45100,0.9226328578,0.9441463415
45600,0.9378876330,0.9426482456
46100,0.9443758093,0.9394394794
46600,0.9233942862,0.9447536481
47100,0.9396000609,0.9509953291
47600,0.9287090796,0.9470588235
48100,0.9362356288,0.9496424116
48600,0.9500087171,0.9430987654
49100,0.9446906444,0.9419177189
49600,0.9208587644,0.9419854839
50100,0.9549427352,0.9456119760
50600,0.9201444484,0.9418458498
51100,0.9465288919,0.9365424658
51600,0.9522417658,0.9508279070
52100,0.9391844580,0.9432076775
52600,0.9498489862,0.9479916350
53100,0.9438344792,0.9386960452
53600,0.9451875086,0.9418604478
54100,0.9348345885,0.9414883549
54600,0.9223564880,0.9401179487
55100,0.9416885588,0.9384522686
55600,0.9388156105,0.9402712230
56100,0.9541903845,0.9369219251
56600,0.9431846030,0.9434318021
57100,0.9276041451,0.9457772329
57600,0.9203959612,0.9367166667
58100,0.9223479068,0.9503132530
58600,0.9186257130,0.9494962457
59100,0.9268107271,0.9431214890
59600,0.9373052550,0.9464892617
60100,0.9592723164,0.9432785358
60600,0.9277741292,0.9454574257
61100,0.9456408180,0.9486913257
61600,0.9305472985,0.9410545455
62100,0.9659513501,0.9522254428
62600,0.9346296194,0.9420837061
63100,0.9569601651,0.9353641838
63600,0.9592201748,0.9408000000
64100,0.9625066267,0.9465790952
64600,0.9389536567,0.9548173375
65100,0.9333847883,0.9450150538
65600,0.9498348984,0.9536774390
66100,0.9466212860,0.9496066566
66600,0.9421421239,0.9478924925
67100,0.9388888374,0.9395439642
67600,0.9776787015,0.9454100592
68100,0.9252446861,0.9409439060
68600,0.9343737952,0.9411714286
69100,0.9582846308,0.9457070912
69600,0.9437176798,0.9461505747
70100,0.9636148447,0.9408279601
70600,0.9285603788,0.9498226629
71100,0.9429514704,0.9489046414
71600,0.9367739658,0.9427709497
72100,0.9546840855,0.9455300971
72600,0.9731509915,0.9406110193
73100,0.9553228805,0.9482002736
73600,0.9439454285,0.9414657609
74100,0.9312782862,0.9440005398
74600,0.9525347412,0.9499694370
75100,0.9341535693,0.9504825566
75600,0.9536952413,0.9416814815
76100,0.9397638907,0.9445345598
76600,0.9541908369,0.9390856397
77100,0.9592255280,0.9451470817
77600,0.9470312588,0.9453969072
78100,0.9480638596,0.9409505762
78600,0.9283031850,0.9498519084
79100,0.9433298793,0.9480849558
79600,0.9457097827,0.9480884422
80100,0.9519439737,0.9393563046
80600,0.9355444971,0.9445205955
81100,0.9415247323,0.9458993835
81600,0.9513634265,0.9430818627
82100,0.9485299513,0.9457656516
82600,0.9516158498,0.9428406780
83100,0.9546646136,0.9455407942
83600,0.9424424615,0.9471770335
84100,0.9418102452,0.9416156956
84600,0.9438286359,0.9435569740
85100,0.9423959987,0.9473640423
85600,0.9376863837,0.9441887850
86100,0.9421777283,0.9452845528
86600,0.9469540044,0.9400983834
87100,0.9393972009,0.9492385763
87600,0.9682181972,0.9463936073
88100,0.9570951775,0.9454719637
88600,0.9668367934,0.9475693002
89100,0.9369694887,0.9380942761
89600,0.9403128369,0.9421125000
90100,0.9371448476,0.9432364040
90600,0.9437768844,0.9470304636
91100,0.9496958053,0.9436184413
91600,0.9207372206,0.9460423581
92100,0.9332617153,0.9385654723
92600,0.9363067867,0.9435516199
93100,0.9344110905,0.9412842105
93600,0.9329511234,0.9434175214
94100,0.9402886220,0.9472153029
94600,0.9444654273,0.9421674419
95100,0.9306057161,0.9469829653
95600,0.9466879038,0.9474836820
96100,0.9399413648,0.9480811655
96600,0.9480592205,0.9490985507
97100,0.9546917233,0.9381759011
97600,0.9448202821,0.9486721311
98100,0.9545730226,0.9471535168
98600,0.9406610244,0.9458292089
99100,0.9579884723,0.9380310797
99600,0.9411730409,0.9431811245
