n,merge_us,hybrid_us
500,427,114
600,587,195
700,583,286
800,993,815
900,1005,469
1000,683,430
1100,850,438
1200,567,273
1300,998,556
1400,1115,508
1500,960,387
1600,911,459
1700,1045,630
1800,1193,431
1900,1023,402
2000,1322,759
2100,1188,678
2200,1352,672
2300,1216,651
2400,1628,700
2500,1889,1036
2600,1946,1069
2700,2386,874
2800,1965,1225
2900,1766,682
3000,2135,976
3100,1998,932
3200,2173,1099
3300,2031,744
3400,2106,803
3500,2361,1046
3600,2280,1058
3700,2248,746
3800,2597,963
3900,2578,1254
4000,2577,1243
4100,2082,1014
4200,2822,981
4300,2738,1461
4400,2644,1626
4500,2517,1464
4600,2884,1567
4700,3167,1781
4800,2969,1870
4900,3144,1392
5000,3250,1319
5100,3415,1773
5200,3465,1953
5300,2725,1591
5400,3206,1862
5500,2953,1428
5600,4527,2223
5700,3797,1484
5800,4084,2005
5900,4334,1932
6000,4035,2628
6100,4031,2128
6200,4401,2137
6300,4129,2264
6400,4472,2357
6500,4463,2221
6600,4689,2205
6700,4911,2327
6800,4421,2478
6900,4324,2247
7000,4673,2451
7100,4889,2396
7200,4754,2485
7300,5078,2586
7400,4063,1887
7500,4262,1981
7600,5017,2645
7700,5436,2133
7800,4199,2079
7900,6849,2620
8000,5184,2998
8100,5439,3158
8200,5573,2990
8300,4666,3016
8400,5213,2939
8500,5641,2863
8600,5612,3235
8700,6108,3056
8800,6259,3069
8900,6080,3108
9000,5952,3543
9100,7401,3624
9200,6475,3796
9300,5932,3071
9400,7604,3965
9500,6989,3293
9600,5654,3120
9700,31389,4043
9800,7718,3849
9900,6860,3643
10000,7684,4177
10100,7460,4213
10200,7617,3538
10300,5802,3939
10400,6384,3880
10500,7630,4159
10600,6002,3214
10700,5923,3248
10800,6089,3458
10900,8186,8145
11000,8809,4451
11100,8564,4927
11200,7531,4255
11300,8610,4720
11400,7796,3919
11500,7194,4449
11600,7327,4795
11700,8342,4221
11800,6391,4406
11900,7236,3803
12000,6817,3592
12100,6635,3870
12200,6861,5227
12300,7132,3641
12400,6552,3555
12500,6802,3639
12600,6757,3617
12700,10190,6560
12800,7465,4227
12900,11359,8983
13000,9021,4859
13100,9237,4977
13200,10425,5456
13300,9628,4964
13400,9322,4976
13500,8427,4898
13600,7855,4649
13700,9417,4930
13800,10150,5216
13900,9262,4864
14000,7905,5281
14100,8605,4016
14200,9392,5562
14300,10654,5619
14400,8879,5349
14500,9703,4099
14600,8863,5184
14700,8086,4090
14800,11847,5966
14900,10648,5716
15000,11077,5353
15100,10118,5149
15200,10675,5520
15300,10153,5002
15400,11156,5885
15500,11036,5451
15600,10980,5421
15700,9411,5125
15800,9757,6335
15900,9721,5506
16000,10926,6273
16100,10397,5588
16200,9729,6049
16300,10689,6364
16400,9748,6296
16500,10536,6073
16600,10812,7109
16700,10890,6219
16800,12221,6662
16900,10062,6315
17000,12429,7419
17100,11261,6834
17200,10212,6216
17300,11536,8149
17400,13833,6686
17500,10721,6695
17600,10861,6240
17700,10026,5763
17800,10625,5818
17900,10174,5823
18000,9851,5717
18100,9845,6829
18200,10154,5780
18300,10584,7103
18400,10294,5973
18500,11501,5909
18600,11373,5937
18700,10163,5916
18800,10187,5954
18900,10425,5967
19000,10731,5985
19100,11461,6008
19200,11122,6051
19300,11041,6507
19400,11555,7097
19500,12543,6229
19600,10982,6316
19700,11080,6233
19800,10934,7539
19900,10849,6971
20000,14303,8011
20100,10799,6336
20200,11020,6389
20300,12084,6497
20400,11766,6752
20500,17368,6540
20600,9997,6060
20700,10123,5901
20800,9989,5222
20900,7216,4053
21000,10878,6780
21100,10131,5276
21200,7996,5131
21300,11615,6676
21400,10572,6913
21500,10902,5988
21600,12287,8564
21700,9382,6130
21800,14265,8483
21900,11443,5685
22000,11215,5732
22100,10081,6186
22200,10877,6005
22300,10426,6008
22400,12024,6128
22500,12408,7488
22600,8093,3559
22700,6131,3378
22800,7576,5398
22900,11152,5956
23000,12446,6968
23100,11782,7297
23200,10428,6453
23300,11666,6195
23400,10639,6278
23500,14481,9306
23600,12297,9972
23700,9603,6377
23800,12512,7211
23900,13593,6934
24000,11811,7338
24100,10948,6107
24200,10800,5748
24300,6633,3736
24400,7522,4328
24500,7612,4518
24600,10245,5274
24700,7606,3909
24800,11544,7166
24900,18963,11160
25000,18584,10762
25100,16323,9987
25200,16230,9716
25300,17785,8713
25400,15972,8564
25500,15447,10050
25600,20866,10633
25700,17008,9472
25800,17997,10701
25900,16757,10768
26000,17120,9182
26100,18911,10273
26200,15621,11056
26300,19569,10083
26400,19026,10782
26500,18790,10747
26600,18441,9746
26700,18649,11066
26800,16785,9517
26900,18334,8920
27000,18281,10012
27100,15566,8851
27200,20192,11344
27300,18845,9418
27400,18282,10040
27500,18211,8910
27600,18618,11296
27700,17450,9662
27800,18930,9905
27900,17257,10355
28000,17988,9852
28100,20038,9851
28200,18805,10200
28300,19644,9580
28400,18674,10410
28500,17332,9069
28600,18090,10703
28700,17276,9790
28800,19497,10246
28900,20771,10103
29000,20919,11636
29100,19331,12438
29200,20297,11552
29300,21281,10462
29400,20932,11009
29500,21136,9532
29600,22265,11958
29700,17381,10736
29800,19510,11459
29900,18186,11168
30000,20531,12246
30100,20000,11684
30200,17870,9626
30300,19502,10544
30400,18721,9619
30500,19372,12617
30600,17650,10042
30700,20884,9667
30800,18743,10320
30900,18607,9682
31000,18793,11458
31100,20499,10274
31200,18534,11864
31300,19415,12039
31400,20465,13150
31500,20657,10957
31600,19006,11173
31700,22412,13158
31800,19798,11895
31900,20038,13902
32000,20182,13444
32100,22218,12652
32200,19728,13674
32300,20234,14454
32400,22386,14626
32500,20327,14316
32600,21476,13685
32700,23359,12127
32800,24316,14494
32900,24652,13695
33000,24538,12074
33100,24465,14401
33200,21550,13919
33300,19221,12935
33400,23682,13505
