n,merge_us,hybrid_us
500,362,153
600,431,234
700,665,489
800,2272,453
900,1046,287
1000,1019,455
1100,1020,718
1200,989,535
1300,965,594
1400,1116,704
1500,1417,617
1600,1227,444
1700,1255,533
1800,1505,765
1900,1308,812
2000,1518,789
2100,1906,1102
2200,1835,1247
2300,1751,936
2400,1511,998
2500,1951,1153
2600,2098,1194
2700,2732,1312
2800,3820,1253
2900,2369,1372
3000,1932,1548
3100,2486,1451
3200,2064,1382
3300,2718,1688
3400,2709,1472
3500,2463,1424
3600,2907,1728
3700,2937,1460
3800,7745,1896
3900,3089,1859
4000,1981,1870
4100,3061,1740
4200,2942,1465
4300,2602,1863
4400,3695,2313
4500,3735,2095
4600,3820,2321
4700,3607,2364
4800,4274,2514
4900,4119,2388
5000,3506,2468
5100,4018,3099
5200,4281,2653
5300,4402,2916
5400,4261,2898
5500,4155,3137
5600,4646,3245
5700,4925,3024
5800,4279,3107
5900,4966,3125
6000,4815,2527
6100,5242,3309
6200,5590,3623
6300,5450,3293
6400,5372,3352
6500,5608,3404
6600,5460,3447
6700,6023,3523
6800,5784,3448
6900,5838,3742
7000,6021,3218
7100,6150,3290
7200,6056,3630
7300,6328,3561
7400,6350,3494
7500,5352,3515
7600,6063,3811
7700,6344,4071
7800,5640,3641
7900,6047,3784
8000,7064,4249
8100,6233,4453
8200,6824,4434
8300,7414,4744
8400,6735,4179
8500,7380,4576
8600,7354,4715
8700,6843,4583
8800,8322,5221
8900,7235,5143
9000,7408,5166
9100,7959,5213
9200,7517,5405
9300,7726,4913
9400,7865,5134
9500,8793,5726
9600,8359,5563
9700,7277,6040
9800,8376,5361
9900,8994,6067
10000,9781,5964
10100,9301,6023
10200,9524,6229
10300,8447,5664
10400,8844,5730
10500,10128,6877
10600,8600,5736
10700,7947,6077
10800,8266,6227
10900,8584,7113
11000,9447,7034
11100,10658,6707
11200,10431,6907
11300,10556,6384
11400,10731,6810
11500,10674,7170
11600,11402,6855
11700,10681,6968
11800,10733,6790
11900,9104,6404
12000,9375,6199
12100,10211,6415
12200,9133,6698
12300,9749,6434
12400,9272,6233
12500,9249,6288
12600,9492,6296
12700,9756,6575
12800,13976,7621
