n,merge_us,hybrid_us
500,337,134
600,379,166
700,551,309
800,636,380
900,643,239
1000,679,356
1100,861,507
1200,684,293
1300,789,474
1400,1062,389
1500,901,435
1600,914,445
1700,795,551
1800,946,526
1900,1068,559
2000,1134,564
2100,1198,636
2200,1435,718
2300,1352,709
2400,1699,814
2500,1206,622
2600,3610,1515
2700,1622,1166
2800,1765,772
2900,1616,875
3000,1842,903
3100,1941,1109
3200,1999,993
3300,2124,1026
3400,1719,859
3500,1795,935
3600,2228,1102
3700,2537,1192
3800,2714,1340
3900,2050,1206
4000,2243,1220
4100,2440,1185
4200,2108,1150
4300,2459,1444
4400,2992,1520
4500,2629,1316
4600,2962,1559
4700,2460,1594
4800,2627,1549
4900,3132,1698
5000,3218,1757
5100,4338,2118
5200,3379,1808
5300,3405,1872
5400,3739,1715
5500,4406,1689
5600,3992,2296
5700,3869,1924
5800,4031,1955
5900,3198,2164
6000,3693,2224
6100,4010,1972
6200,4295,2090
6300,4278,2190
6400,4535,2397
6500,4306,2351
6600,4359,2265
6700,4393,2397
6800,4445,2374
6900,4569,1947
7000,3946,2407
7100,4766,2395
7200,4757,2230
7300,4250,2723
7400,3832,2114
7500,4674,2039
7600,5145,2818
7700,4501,2742
7800,4442,2798
7900,4929,2861
8000,4634,2832
8100,5259,2687
8200,5287,2687
8300,5067,2600
8400,5247,3335
8500,5157,3274
8600,5444,2907
8700,6313,3430
8800,5108,2766
8900,5671,2977
9000,5883,3261
9100,5964,3488
9200,6286,3156
9300,6722,3258
9400,6512,3541
9500,7020,3695
9600,6399,2973
9700,5158,3321
9800,6729,3953
9900,7613,3683
10000,6880,4381
10100,7815,3998
10200,7535,3990
10300,6094,4109
10400,5468,3143
10500,7741,4052
10600,5624,3129
10700,6856,3247
10800,7098,3663
10900,8157,4474
11000,8996,4814
11100,8945,4466
11200,7957,4219
11300,7545,4374
11400,7431,4803
11500,7787,4624
11600,7179,4298
11700,7644,4737
11800,8916,4761
11900,6622,3953
12000,7501,3746
12100,7148,3616
12200,6675,3659
12300,6881,3772
12400,7040,3882
12500,6640,3783
12600,7585,3964
