n,quick_us,hybrid_us
500,21,7
600,27,9
700,33,11
800,42,14
900,47,16
1000,48,17
1100,53,19
1200,59,18
1300,71,23
1400,63,31
1500,68,24
1600,77,27
1700,65,23
1800,74,24
1900,80,32
2000,84,34
2100,103,41
2200,94,27
2300,98,39
2400,99,40
2500,104,42
2600,108,48
2700,107,46
2800,107,51
2900,115,44
3000,128,49
3100,127,58
3200,135,61
3300,150,53
3400,135,64
3500,208,69
3600,202,84
3700,162,72
3800,168,68
3900,178,66
4000,179,68
4100,208,91
4200,169,69
4300,170,214
4400,219,85
4500,182,88
4600,457,87
4700,194,102
4800,403,91
4900,188,89
5000,389,107
5100,227,98
5200,222,91
5300,338,177
5400,237,83
5500,248,355
5600,248,96
5700,304,126
5800,259,119
5900,308,99
6000,277,113
6100,299,132
6200,257,115
6300,274,141
6400,324,146
6500,488,152
6600,556,153
6700,346,207
6800,380,141
6900,374,145
7000,588,165
7100,396,376
7200,406,157
7300,381,239
7400,374,203
7500,393,158
7600,449,196
7700,467,190
7800,455,220
7900,413,203
8000,3375,233
8100,469,186
8200,730,202
8300,493,246
8400,367,166
8500,381,199
8600,367,186
8700,409,158
8800,365,179
8900,781,229
9000,582,188
9100,444,209
9200,391,182
9300,421,211
9400,423,215
9500,411,184
9600,807,601
9700,440,180
9800,441,208
9900,453,192
10000,420,194
10100,414,223
10200,2861,287
10300,518,178
10400,490,196
10500,488,208
10600,724,251
10700,526,218
10800,536,254
10900,476,240
11000,535,251
11100,497,189
11200,509,261
11300,504,225
11400,504,550
11500,496,244
11600,488,214
11700,887,377
11800,516,235
11900,615,263
12000,584,279
12100,593,294
12200,540,268
12300,749,284
12400,683,290
12500,947,262
12600,595,266
12700,584,279
12800,740,230
12900,871,458
13000,685,488
13100,645,253
13200,666,809
13300,642,244
13400,857,294
13500,669,470
13600,1347,484
13700,1006,348
13800,747,292
13900,651,427
14000,1161,481
14100,1161,428
14200,882,292
14300,634,310
14400,613,273
14500,1006,245
14600,614,340
14700,729,324
14800,846,287
14900,944,576
15000,678,356
15100,846,307
15200,761,348
15300,1186,398
15400,965,346
15500,1050,403
15600,660,978
15700,777,565
15800,718,296
15900,724,406
16000,761,400
16100,750,381
16200,827,377
16300,865,354
16400,1590,417
16500,709,474
16600,793,365
16700,1849,621
16800,1001,516
16900,838,339
17000,3475,456
17100,969,344
17200,788,518
17300,795,406
17400,1061,371
17500,807,403
17600,789,380
17700,1077,349
17800,1139,448
17900,867,406
18000,1021,436
18100,1101,345
18200,1156,372
18300,1295,1696
18400,832,729
18500,1265,623
18600,1785,1272
18700,1687,393
18800,1104,378
18900,844,412
19000,923,410
19100,862,1678
19200,1699,945
19300,1177,413
19400,911,391
19500,895,1132
19600,2197,1319
19700,948,374
19800,874,442
19900,1208,389
20000,1110,413
20100,1617,401
20200,1100,452
20300,932,418
20400,991,433
20500,1521,429
20600,978,454
20700,1110,526
20800,1012,430
20900,1460,378
21000,1632,677
21100,1010,499
21200,945,585
21300,1234,498
21400,1237,526
21500,1096,477
21600,1155,521
21700,1365,535
21800,1455,504
21900,1050,939
22000,1382,505
22100,1004,551
22200,1116,394
22300,1675,585
22400,1027,552
22500,1018,534
22600,1444,464
22700,1078,499
22800,1228,575
22900,1647,602
23000,1077,448
23100,1212,514
23200,1173,867
23300,1313,460
23400,1293,508
23500,1228,1003
23600,1103,654
23700,1397,582
23800,1875,860
23900,1268,598
24000,1460,537
24100,1175,575
24200,1615,595
24300,1171,571
24400,1109,584
24500,1383,573
24600,1399,589
24700,1653,683
24800,1227,652
24900,1129,564
25000,1775,536
25100,1293,534
25200,1383,835
25300,1347,625
25400,1199,690
25500,1287,633
25600,2176,545
25700,1241,509
25800,1444,553
25900,2434,553
26000,1197,523
26100,1296,602
26200,1600,710
26300,1298,542
26400,1719,689
26500,1234,779
26600,1494,575
26700,1433,686
26800,1442,570
26900,1784,563
27000,1311,579
27100,1624,579
27200,1266,665
27300,1379,682
27400,1461,575
27500,1524,593
27600,1591,624
27700,1272,999
27800,2969,1117
27900,1424,1494
28000,1323,670
28100,1435,615
28200,1994,709
28300,1626,841
28400,1517,700
28500,1421,747
28600,1391,888
28700,1510,849
28800,1424,737
28900,1500,680
29000,1403,684
29100,2079,2706
29200,1523,1140
29300,1781,800
29400,1457,689
29500,1526,795
29600,1602,827
29700,1705,645
29800,1422,691
29900,1868,1236
30000,2116,686
30100,1708,1034
30200,1538,635
30300,1607,720
30400,1801,1742
30500,2086,656
30600,1835,688
30700,1553,689
30800,2337,785
30900,1487,699
31000,1520,735
31100,1651,768
31200,1721,1082
31300,1741,686
31400,1834,732
31500,1724,690
31600,1660,755
31700,1645,757
31800,1498,1039
31900,1572,916
32000,2342,2013
32100,1577,776
32200,1729,763
32300,1654,725
32400,1883,694
32500,1720,804
32600,1721,768
32700,1759,666
32800,1706,921
32900,2627,767
33000,2249,869
33100,1693,1172
33200,1949,1499
33300,1973,765
33400,1652,968
33500,1787,886
33600,2034,865
33700,1542,836
33800,1909,1002
33900,3739,987
34000,2211,1994
34100,2064,957
34200,2459,985
34300,2221,1355
34400,1782,1015
34500,2023,825
34600,1763,1007
34700,2194,1409
34800,2335,1111
34900,2232,1134
35000,2405,1167
35100,2652,1659
35200,5979,956
35300,2136,1853
35400,2357,1232
35500,2439,1573
35600,2240,1071
35700,2593,1276
35800,2369,1006
35900,2012,1210
36000,1926,974
36100,2528,860
36200,2631,1624
36300,1964,875
36400,2918,1602
36500,1876,946
36600,4141,2382
36700,2714,1392
36800,2655,1422
36900,2871,1457
37000,3263,1486
37100,2704,1317
37200,2791,1131
37300,2160,1453
37400,2747,1068
37500,3275,2039
37600,2211,1310
37700,3290,1751
37800,2780,1168
37900,2834,1521
38000,2620,1316
38100,2280,1530
38200,2860,1187
38300,2655,1222
38400,2359,1227
38500,2970,1529
38600,2669,1146
38700,3162,1353
38800,3160,1637
38900,2464,2245
39000,2716,1322
39100,2636,1404
39200,2628,1360
39300,2438,1473
39400,2828,1241
39500,3011,1502
39600,3316,1300
39700,3061,1256
39800,3089,1826
39900,2855,1479
40000,3239,37890
40100,2429,1185
40200,3666,1383
40300,5264,1016
40400,2559,1658
40500,2804,1244
40600,2003,1376
40700,2251,943
40800,2083,916
40900,2044,1515
41000,2388,857
41100,3100,1262
41200,2861,1022
41300,2461,975
41400,1996,1292
41500,2118,1038
41600,2323,990
41700,2424,942
41800,2226,1076
41900,2748,1561
42000,2166,945
42100,2359,1297
42200,2625,2252
42300,2299,969
42400,2356,1371
42500,2792,1366
42600,2968,1081
42700,3226,1462
42800,3631,1158
42900,3443,1976
43000,3175,1566
43100,3188,1469
43200,3351,2305
43300,2862,1286
43400,3460,1524
43500,3704,1601
43600,3237,1491
43700,2844,1898
43800,3323,2002
43900,2314,1128
44000,2519,979
44100,3394,1168
44200,2284,1144
44300,3425,1453
44400,4848,1587
44500,2855,1736
44600,3171,1697
44700,3655,1450
44800,3135,1612
44900,3141,1465
45000,3769,2744
45100,2950,1657
45200,3362,1274
45300,3848,2183
45400,2606,1553
45500,2931,1055
45600,2648,1370
45700,3020,1038
45800,3090,1086
45900,2932,1529
46000,3527,1362
46100,3641,1298
46200,3132,977
46300,3509,1156
46400,3288,1384
46500,4269,2399
46600,3871,1331
46700,3293,1297
46800,2789,1310
46900,3310,1130
47000,4608,2101
47100,3250,1867
47200,2785,2831
47300,2580,2094
47400,4562,2496
47500,4762,1672
47600,3458,1361
47700,2567,1320
47800,2673,1369
47900,5134,1852
48000,3536,1595
48100,2886,1345
48200,3392,1646
48300,2519,1417
48400,3037,1619
48500,3291,1170
48600,3646,1690
48700,4200,1215
48800,3801,1201
48900,5188,1433
49000,4595,1948
49100,3693,2038
49200,5741,3126
49300,3440,1517
49400,3073,2401
49500,7552,3224
49600,3884,2287
49700,5888,1531
49800,4369,4244
49900,3641,1983
50000,4105,1641
50100,2907,1196
50200,2627,2925
50300,5206,1483
50400,2993,1484
50500,2669,1207
50600,2663,1257
50700,2617,1161
50800,2688,1178
50900,3503,1299
51000,2783,1315
51100,2774,1475
51200,2938,1271
51300,2498,1397
51400,2640,1489
51500,4871,1482
51600,3908,2348
51700,3215,1545
51800,3016,1274
51900,3004,1620
52000,4320,2838
52100,3093,1234
52200,3244,1351
52300,2911,1481
52400,5036,1461
52500,3127,1749
52600,3303,1309
52700,3427,1683
52800,3176,1297
52900,5372,2912
53000,3664,2375
53100,4055,1771
