n,quick_us,hybrid_us
500,49,17
600,58,21
700,67,27
800,82,34
900,94,41
1000,103,47
1100,114,54
1200,144,81
1300,119,64
1400,140,80
1500,150,112
1600,161,88
1700,153,85
1800,159,76
1900,213,120
2000,194,120
2100,207,213
2200,205,115
2300,216,118
2400,216,163
2500,216,139
2600,269,161
2700,293,163
2800,237,153
2900,291,169
3000,296,185
3100,342,184
3200,361,170
3300,315,181
3400,337,176
3500,317,203
3600,1267,267
3700,348,327
3800,378,233
3900,360,230
4000,885,230
4100,435,211
4200,388,270
4300,399,266
4400,860,261
4500,441,259
4600,476,291
4700,468,330
4800,581,431
4900,472,324
5000,448,313
5100,500,436
5200,521,348
5300,505,304
5400,593,464
5500,611,397
5600,493,387
5700,544,340
5800,576,329
5900,557,461
6000,565,385
6100,681,418
6200,657,404
6300,650,398
6400,2097,651
6500,742,871
6600,791,515
6700,685,519
6800,797,468
6900,885,766
7000,811,561
7100,779,1017
7200,733,493
7300,1029,570
7400,1455,554
7500,895,766
7600,921,630
7700,1123,739
7800,875,628
7900,906,623
8000,960,684
8100,921,612
8200,943,658
8300,1085,1102
8400,993,726
8500,922,574
8600,928,616
8700,801,602
8800,1043,579
8900,822,767
9000,996,560
9100,872,651
9200,905,661
9300,1021,551
9400,1761,1700
9500,872,685
9600,956,619
9700,2337,817
9800,1035,641
9900,1031,674
10000,1140,637
10100,5505,707
10200,1657,680
10300,1151,1103
10400,1090,781
10500,1003,980
10600,1277,850
10700,1606,747
10800,1345,764
10900,2421,1232
11000,1061,787
11100,1011,838
11200,1318,884
11300,1184,775
11400,1615,769
11500,2832,805
11600,1191,983
11700,1216,1599
11800,1460,966
11900,1139,797
12000,1172,751
12100,1293,882
12200,1276,845
12300,1881,1409
12400,1378,883
12500,1296,778
12600,1293,923
12700,1388,830
12800,1689,1458
12900,1756,1165
13000,1621,1300
13100,2340,1263
13200,1571,1005
13300,1512,962
13400,1587,1063
13500,1429,1363
13600,1722,1005
13700,1828,997
13800,1861,1056
13900,1581,971
14000,1370,1108
14100,1679,1018
14200,1549,897
14300,1319,1030
14400,1402,1104
14500,1623,977
14600,1323,990
14700,1423,2943
14800,2033,1133
14900,2506,1012
15000,1485,1213
15100,1771,1119
15200,1770,982
15300,1701,1681
15400,2024,1587
15500,2115,1992
15600,1788,1000
15700,2539,1183
15800,1545,1190
15900,1994,1088
16000,1574,1277
16100,1555,1065
16200,1763,1320
16300,1703,1168
16400,1899,4544
16500,1631,1543
16600,1676,1142
16700,1639,1115
16800,1707,1437
16900,1733,1226
17000,2409,1328
17100,2889,1150
17200,1903,1422
17300,2346,1829
17400,3119,1656
17500,2095,1359
17600,1569,1329
17700,3838,1241
17800,1750,1975
17900,1686,2267
18000,1828,3472
18100,3594,1878
18200,1929,1507
18300,2466,1532
18400,2312,1297
18500,4636,1334
18600,2077,1527
18700,2191,1410
18800,1783,2349
18900,3145,1612
19000,2305,1272
19100,2159,1278
19200,9705,1931
19300,5472,2286
19400,1968,1404
19500,2258,1662
19600,1781,1751
19700,2628,1497
19800,2225,1408
19900,2127,1363
20000,2008,1424
20100,1878,1428
20200,1905,1396
20300,2045,2225
20400,1986,1433
20500,3603,1395
20600,2298,1689
20700,2831,1529
20800,2407,2213
20900,3942,1631
21000,3431,1841
21100,2624,1730
21200,2640,1826
21300,2277,1854
21400,2071,1972
21500,2242,1549
21600,2354,1499
21700,3577,1529
21800,2590,1584
21900,2578,1513
22000,2553,1581
22100,2695,1479
22200,2711,1467
22300,2489,1655
22400,2691,2088
22500,2354,1838
22600,2615,1929
22700,2755,1508
22800,2621,2052
22900,2469,1762
23000,2151,1639
23100,2423,1549
23200,2994,1558
23300,2377,2262
23400,4142,1795
23500,2669,2190
23600,2705,1653
23700,2840,2121
23800,2863,1966
23900,2807,2103
24000,3763,1952
24100,2469,1843
24200,2727,2181
24300,2903,1716
24400,2702,3016
24500,2675,2636
24600,2601,1839
24700,3219,2141
24800,2626,2083
24900,2367,2786
25000,2782,2472
25100,2907,2451
25200,2856,2004
25300,3342,2144
25400,2667,1980
25500,2412,2188
25600,2991,2194
25700,4334,2352
25800,2836,1943
25900,3190,1969
26000,2580,2011
26100,2415,3384
26200,2538,2060
26300,3722,3187
26400,2775,2405
26500,3284,2147
26600,2852,3369
26700,3087,1998
26800,2912,1989
26900,3153,2215
27000,3074,3355
27100,3242,2382
27200,2742,2140
27300,2954,2545
27400,2797,2084
27500,2891,2126
27600,3319,2268
27700,2820,1920
27800,2522,4430
27900,3492,1995
28000,3478,2797
28100,2865,2154
28200,2886,3930
28300,3078,3106
28400,3128,2756
28500,2889,2148
28600,3037,2133
28700,3123,2051
28800,3197,2168
28900,2919,2151
29000,3085,2488
29100,2845,2505
29200,3374,2286
29300,3305,3123
29400,4180,2490
29500,3078,2709
29600,3211,2259
29700,3207,2259
29800,3382,2092
29900,2934,2319
30000,3427,2444
30100,3315,2728
30200,3174,2193
30300,2988,2295
30400,3830,2307
30500,3229,2888
30600,3317,2547
30700,3297,2636
30800,5019,2472
30900,3216,2405
31000,3197,4061
31100,3244,4339
31200,3040,2555
31300,4745,2939
31400,3238,2504
31500,5398,2457
31600,3174,3099
31700,3937,2475
31800,3083,2493
31900,3084,2635
32000,3369,2253
32100,4136,2589
32200,3177,4193
32300,3041,2489
32400,3734,2941
32500,4078,2419
32600,3627,2785
32700,4137,2498
32800,3364,2327
32900,3212,2794
33000,3604,2725
33100,3566,3826
33200,3585,2902
33300,3875,2726
33400,3356,2535
33500,3708,2648
33600,3575,2798
33700,3362,2722
33800,3859,4064
33900,3510,3300
34000,3897,2836
34100,5115,2940
34200,4437,3109
34300,4897,3305
34400,5985,7076
34500,3757,3190
34600,3860,2857
34700,4705,3093
34800,4991,3199
34900,4462,3639
35000,4421,3238
35100,4907,3230
35200,4918,4233
35300,4042,4197
35400,4970,4576
35500,5542,4232
35600,6306,3734
35700,4845,3370
35800,5415,4076
35900,8560,4179
36000,4618,2883
36100,4653,3109
36200,4260,2867
36300,3673,3235
36400,4593,2720
36500,4472,3057
36600,3672,5472
36700,5441,4076
36800,5081,4665
36900,4681,4215
37000,5259,3795
37100,7681,4488
37200,5126,3922
37300,4724,5602
37400,4425,3756
37500,4953,3747
37600,5347,4112
37700,4736,3696
37800,4328,4095
37900,5651,3961
38000,4961,3941
38100,4710,3665
38200,4347,4799
38300,4431,4316
38400,5168,4288
38500,5165,3627
38600,4979,4190
38700,4548,3984
38800,5674,3474
38900,4695,3659
39000,5117,4730
39100,6055,4057
39200,5735,3985
39300,5140,3646
39400,5423,4067
39500,4906,4328
39600,5168,4080
39700,5334,4026
39800,5361,4083
39900,5111,3920
40000,5619,4010
40100,16044,8236
40200,5013,3828
40300,5255,4089
40400,5601,4823
40500,7497,5551
40600,4481,3149
40700,6128,2898
40800,4921,4052
40900,4324,3780
41000,4269,3379
41100,4723,3818
41200,4500,3845
41300,4401,4003
41400,4281,4502
41500,6658,3904
41600,5907,3206
41700,5040,3749
41800,4406,4173
41900,4855,3340
42000,4804,3375
42100,5378,3389
42200,4954,3549
42300,4416,3282
42400,4509,3916
42500,4879,3850
42600,5178,5193
42700,5130,4080
42800,8058,4851
42900,5681,4706
43000,8224,4855
43100,5490,7109
43200,8879,5014
43300,6661,4692
43400,6535,4810
43500,5589,4249
43600,5934,4316
43700,6071,4265
43800,5884,4593
43900,5651,5839
44000,5222,3357
44100,6569,4168
44200,5118,5065
44300,4993,3440
44400,4463,3384
44500,6883,4602
44600,6246,4347
44700,5748,4610
44800,6474,4082
44900,7196,5227
45000,5506,4736
45100,10517,4710
45200,6446,4096
45300,5596,4654
45400,4553,3818
45500,5667,4362
45600,5787,5197
45700,6464,5855
45800,5430,4740
45900,5208,4325
46000,7055,3939
46100,5776,6374
46200,6770,4102
46300,11955,7368
46400,5730,4627
46500,6193,5017
46600,7653,5174
46700,9351,5828
46800,5552,3977
46900,5067,5002
47000,5868,4652
47100,6006,5460
47200,7859,5387
47300,6351,4502
47400,5506,4973
47500,6021,4664
47600,6015,4643
47700,6226,6251
47800,5611,6864
47900,6611,5461
48000,8156,5583
48100,5086,3810
48200,4901,3875
48300,4869,5739
48400,4966,3702
48500,5664,5734
48600,7279,3819
48700,5307,4114
