n,quick_us,hybrid_us
500,23,7
600,27,8
700,33,10
800,41,13
900,48,14
1000,48,17
1100,52,19
1200,53,79
1300,52,20
1400,110,21
1500,68,22
1600,73,24
1700,70,21
1800,73,22
1900,75,28
2000,83,30
2100,96,33
2200,93,25
2300,89,26
2400,96,33
2500,96,35
2600,238,80
2700,115,45
2800,131,44
2900,117,41
3000,123,45
3100,125,48
3200,133,40
3300,132,48
3400,133,45
3500,1131,82
3600,192,70
3700,148,49
3800,162,64
3900,163,57
4000,163,53
4100,165,69
4200,380,56
4300,174,61
4400,344,68
4500,185,70
4600,190,62
4700,194,66
4800,192,66
4900,183,73
5000,199,68
5100,213,80
5200,860,71
5300,361,83
5400,305,121
5500,226,78
5600,228,73
5700,243,195
5800,264,100
5900,283,138
6000,247,82
6100,264,86
6200,254,93
6300,275,91
6400,296,109
6500,327,107
6600,344,121
6700,315,128
6800,378,113
6900,327,117
7000,332,119
7100,333,121
7200,338,119
7300,348,156
7400,352,126
7500,361,127
7600,761,184
7700,384,155
7800,369,168
7900,375,172
8000,449,98
8100,389,141
8200,462,140
8300,398,201
8400,338,103
8500,382,128
8600,342,134
8700,373,153
8800,390,122
8900,482,144
9000,368,144
9100,379,141
9200,366,134
9300,378,142
9400,612,140
9500,408,128
9600,397,134
9700,614,165
9800,389,160
9900,441,166
10000,1221,150
10100,394,152
10200,423,153
10300,573,148
10400,443,149
10500,465,162
10600,454,169
10700,456,180
10800,479,176
10900,608,153
11000,477,171
11100,443,153
11200,468,172
11300,459,171
11400,466,175
11500,471,143
11600,585,178
11700,480,281
11800,490,462
11900,589,155
12000,515,177
12100,504,181
12200,517,187
12300,1372,382
12400,525,202
12500,881,452
12600,591,236
12700,529,212
12800,520,167
12900,909,172
13000,536,194
13100,545,255
13200,612,202
13300,947,247
13400,712,565
13500,699,191
13600,1333,395
13700,1026,241
13800,1385,298
13900,594,374
14000,1082,374
14100,736,736
14200,614,227
14300,950,187
14400,591,208
14500,622,205
14600,773,231
14700,1407,265
14800,623,338
14900,656,256
15000,915,225
15100,816,250
15200,894,261
15300,1415,379
15400,684,552
15500,1073,239
15600,624,225
